API Name,Environment,Current Version Supported,Description,More Details
/v1/providerdirectory/InsurancePlan 1.0.0,Production,DaVinci Implementation Guide 1.1.0,Access to Medicaid health insurance plan data for a specific state.,https://developerportal.aetna.com/fhir/apis/swagger/_v1_providerdirectory_InsurancePlan.yaml
/v1/providerdirectory/Location 1.0.0,Production,DaVinci Implementation Guide 1.1.0,Access to data for facilities that provides Medicaid services based on location.,https://developerportal.aetna.com/fhir/apis/swagger/_v1_providerdirectory_Location.yaml
/v1/providerdirectory/Location/{id} 1.0.0,Production,DaVinci Implementation Guide 1.1.0,Access to data for a specific facility that provides Medicaid services based on unique ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v1_providerdirectory_Location_id.yaml
/v1/providerdirectory/Organization 1.0.0,Production,DaVinci Implementation Guide 1.1.0,Access to provider and pharmacy data for organizations that provide Medicaid services based on name and location.,https://developerportal.aetna.com/fhir/apis/swagger/_v1_providerdirectory_Organization.yaml
/v1/providerdirectory/Organization/{id} 1.0.0,Production,DaVinci Implementation Guide 1.1.0,Access to provider and pharmacy data for specific organizations that provide Medicaid services based on the organization's ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v1_providerdirectory_Organization_id.yaml
/v1/providerdirectory/OrganizationAffiliation 1.0.0 ,Production,DaVinci Implementation Guide 1.1.0,Access to provider and pharmacy data for facilities affiliated with organizations that provide Medicaid services based on specialty and location.,https://developerportal.aetna.com/fhir/apis/swagger/_v1_providerdirectory_OrganizationAffiliation.yaml
/v1/providerdirectory/Practitioner 1.0.0,Production,DaVinci Implementation Guide 1.1.0,Access to data for practitioners that provide Medicaid services based on National Provider Identifier or name/location.,https://developerportal.aetna.com/fhir/apis/swagger/_v1_providerdirectory_Practitioner.yaml
/v1/providerdirectory/Practitioner/{id} 1.0.0,Production,DaVinci Implementation Guide 1.1.0,Access to data for a specific practitioner that provides Medicaid services based on the practitioner ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v1_providerdirectory_Practitioner_id.yaml
/v1/providerdirectory/PractitionerRole 1.0.0,Production,DaVinci Implementation Guide 1.1.0,Access to data for practitioners that provide Medicaid services based on specialty and location.,https://developerportal.aetna.com/fhir/apis/swagger/_v1_providerdirectory_PractitionerRole.yaml
/v1/providerdirectorydata/$export 1.0.0,Production,DaVinci Implementation Guide 1.2.0,Access to unique Job ID to download BULK Commercial and Medicare Provider Directory data based on resource _type and date parameters.,https://developerportal.aetna.com/fhir/apis/swagger/_v1_providerdirectorydata_export.yaml
/v1/providerdirectorydata/$exportstatus/{id} 1.0.0,Production,DaVinci Implementation Guide 1.2.0,Provides the current status of Commercial and Medicare Provider Directory BULK data request and link to download the data based on search parameters used in $export API.,https://developerportal.aetna.com/fhir/apis/swagger/_v1_providerdirectorydata_exportstatus_id.yaml
/v1/providerdirectorydata/HealthcareService 1.0.0,Production,DaVinci Implementation Guide 1.2.0,Access to data for Commercial and Medicare healthcare services offered by organizations/practitioners by location.,https://developerportal.aetna.com/fhir/apis/swagger/_v1_providerdirectorydata_HealthcareService.yaml
/v1/providerdirectorydata/InsurancePlan 1.0.0,Production,DaVinci Implementation Guide 1.2.0,Access to Commercial and Medicare health insurance plan data for a specific state.,https://developerportal.aetna.com/fhir/apis/swagger/_v1_providerdirectorydata_InsurancePlan.yaml
/v1/providerdirectorydata/Location 1.0.0,Production,DaVinci Implementation Guide 1.2.0,Access to provider and pharmacy data for organizations that provide Commercial and Medicare services based on name and location.,https://developerportal.aetna.com/fhir/apis/swagger/_v1_providerdirectorydata_Location.yaml
/v1/providerdirectorydata/Organization 1.0.0,Production,DaVinci Implementation Guide 1.2.0,Access to provider and pharmacy data for organizations that provide Commercial and Medicare services based on name and location.,https://developerportal.aetna.com/fhir/apis/swagger/_v1_providerdirectorydata_Organization.yaml
/v1/providerdirectorydata/OrganizationAffiliation 1.0.0,Production,DaVinci Implementation Guide 1.2.0,Access to provider and pharmacy data for facilities affiliated with organizations that provide Commercial and Medicare services based on specialty and location.,https://developerportal.aetna.com/fhir/apis/swagger/_v1_providerdirectorydata_OrganizationAffiliation.yaml
/v1/providerdirectorydata/Practitioner 1.0.0,Production,DaVinci Implementation Guide 1.2.0,Access to data for practitioners that provide Commercial and Medicare services based on National Provider Identifier or name/location.,https://developerportal.aetna.com/fhir/apis/swagger/_v1_providerdirectorydata_Practitioner.yaml
/v1/providerdirectorydata/PractitionerRole 1.0.0,Production,DaVinci Implementation Guide 1.2.0,Access to data for practitioners that provide Commercial and Medicare services based on specialty and location.,https://developerportal.aetna.com/fhir/apis/swagger/_v1_providerdirectorydata_PractitionerRole.yaml
